fip_index,fip_title,community,c,supercommunity,sc,question,q,sort,nochoice,decl,rel,resource_id_used,startdate,enddate,date,resource_pref_id,res,reslabel,res_np,res_np_date,resourcetype,qualification_np
http://purl.org/np/RAMeYMW5oErccWQHmth6IB6ZKAl-EBuxbUvNCfcXmKLi0,ACTRIS_ARES_FIP_2022,http://purl.org/np/RA39E3Dj61wCQkWCkK707UWBEBvRj2-hUDH5V5BicUgrg#ACTRIS-ARES,ACTRIS-ARES,http://purl.org/np/RAdfztWNVhHRCxrGOGSYAFHDrrMQV8Ug2nZL4rxhP7CNU#ENVRI,ENVRI,https://w3id.org/fair/fip/terms/FIP-Question-F1-MD,F1-MD,01-0Dx,,http://purl.org/np/RAEeJRWztAFjyQWNqzU9GNauYqgIH5ud4pvexJsyZJCvg#declaration,https://w3id.org/fair/fip/terms/declares-current-use-of,http://purl.org/np/RAnAWGdeI_1GGmDAqv-vZjby5XqbL2ZujNz1vgwK_6cRI#DOI,2022-01-01,2022-12-31,2023-04-24T19:39:18+00:00,http://purl.org/np/RAnAWGdeI_1GGmDAqv-vZjby5XqbL2ZujNz1vgwK_6cRI#DOI,DOI,DOI | Digital Object Identifier,http://purl.org/np/RAVI6ifsFrq3vkzlwYn5-D-x31ORGJEZ8af0DsBfzQprU,2023-01-07T18:45:11.243000+00:00,https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource,http://purl.org/np/RApVq9AfVfgbiNOggadX3N5d1tGKLKqfRBNYoahhFVbRg
http://purl.org/np/RAMeYMW5oErccWQHmth6IB6ZKAl-EBuxbUvNCfcXmKLi0,ACTRIS_ARES_FIP_2022,http://purl.org/np/RA39E3Dj61wCQkWCkK707UWBEBvRj2-hUDH5V5BicUgrg#ACTRIS-ARES,ACTRIS-ARES,http://purl.org/np/RAdfztWNVhHRCxrGOGSYAFHDrrMQV8Ug2nZL4rxhP7CNU#ENVRI,ENVRI,https://w3id.org/fair/fip/terms/FIP-Question-F1-MD,F1-MD,01-0Dx,,http://purl.org/np/RAGyluttjyec4d5IUZcgY18QuIqMMpca1HzFr3tQJ7XN0#declaration,https://w3id.org/fair/fip/terms/declares-planned-use-of,http://purl.org/np/RA1MzU1MPio-mtLzm1P7zfTBSMnTNc2I8HLNARhPjpif8#ORCID,2022-01-01,2022-12-31,2023-04-24T19:39:18+00:00,http://purl.org/np/RA1MzU1MPio-mtLzm1P7zfTBSMnTNc2I8HLNARhPjpif8#ORCID,ORCID,ORCID | Open Researcher and Contributor ID,http://purl.org/np/RAtIFnvA0nuTJjr4QEBw8j_CNW-8D7xLAC42qLxSZqDMo,2023-04-17T02:45:09.054000+00:00,https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource,http://purl.org/np/RAgUy056QAXawK4atP_sfthRbqGoM7WMIkwutgOglkrnU
http://purl.org/np/RAMeYMW5oErccWQHmth6IB6ZKAl-EBuxbUvNCfcXmKLi0,ACTRIS_ARES_FIP_2022,http://purl.org/np/RA39E3Dj61wCQkWCkK707UWBEBvRj2-hUDH5V5BicUgrg#ACTRIS-ARES,ACTRIS-ARES,http://purl.org/np/RAdfztWNVhHRCxrGOGSYAFHDrrMQV8Ug2nZL4rxhP7CNU#ENVRI,ENVRI,https://w3id.org/fair/fip/terms/FIP-Question-F1-MD,F1-MD,01-0Dx,,http://purl.org/np/RAgO15veiociGJbJxrg9WqOdqPC-jHRNV-sKmFI3dFJCY#declaration,https://w3id.org/fair/fip/terms/declares-current-use-of,http://purl.org/np/RAvSpggcYeB-tEfjF6SwIkM3R6LmxuOvK4FqJqIDIkxt0#Handle_System,2022-01-01,2022-12-31,2023-04-24T19:39:18+00:00,http://purl.org/np/RAvSpggcYeB-tEfjF6SwIkM3R6LmxuOvK4FqJqIDIkxt0#Handle_System,Handle_System,Handle System,http://purl.org/np/RAzcNzcKSufkPxII5n6Es_r38AcnEPiJpjbUxVdSMkcuA,2023-01-07T15:47:35.769000+00:00,https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource,http://purl.org/np/RAXV6pi_XMj2ros-nT5mvUmo-k7qHGFDn0zYaSNIbzuvY
http://purl.org/np/RAhYc7jT_7xNb8CowlbT3A_XBSDuyLP9aMnf3sJt2Pn5k,ACTRIS_ARES_FIP_2021,http://purl.org/np/RA39E3Dj61wCQkWCkK707UWBEBvRj2-hUDH5V5BicUgrg#ACTRIS-ARES,ACTRIS-ARES,http://purl.org/np/RAdfztWNVhHRCxrGOGSYAFHDrrMQV8Ug2nZL4rxhP7CNU#ENVRI,ENVRI,https://w3id.org/fair/fip/terms/FIP-Question-F1-MD,F1-MD,01-0Dx,,http://purl.org/np/RA5pVhs38aIALIWyVaG__1Nwf1pcg6x9xOmqxszkMPGW0#declaration,https://w3id.org/fair/fip/terms/declares-current-use-of,http://purl.org/np/RAvSpggcYeB-tEfjF6SwIkM3R6LmxuOvK4FqJqIDIkxt0#Handle_System,2021-01-01,2021-12-31,2023-04-25T02:34:23+00:00,http://purl.org/np/RAvSpggcYeB-tEfjF6SwIkM3R6LmxuOvK4FqJqIDIkxt0#Handle_System,Handle_System,Handle System,http://purl.org/np/RAzcNzcKSufkPxII5n6Es_r38AcnEPiJpjbUxVdSMkcuA,2023-01-07T15:47:35.769000+00:00,https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource,http://purl.org/np/RAXV6pi_XMj2ros-nT5mvUmo-k7qHGFDn0zYaSNIbzuvY
http://purl.org/np/RAhYc7jT_7xNb8CowlbT3A_XBSDuyLP9aMnf3sJt2Pn5k,ACTRIS_ARES_FIP_2021,http://purl.org/np/RA39E3Dj61wCQkWCkK707UWBEBvRj2-hUDH5V5BicUgrg#ACTRIS-ARES,ACTRIS-ARES,http://purl.org/np/RAdfztWNVhHRCxrGOGSYAFHDrrMQV8Ug2nZL4rxhP7CNU#ENVRI,ENVRI,https://w3id.org/fair/fip/terms/FIP-Question-F1-MD,F1-MD,01-0Dx,,http://purl.org/np/RAHDhXSH9tcOpQqXvxlVkqkKN3B8PSIvokFJphqbdW99U#declaration,https://w3id.org/fair/fip/terms/declares-planned-use-of,http://purl.org/np/RA1MzU1MPio-mtLzm1P7zfTBSMnTNc2I8HLNARhPjpif8#ORCID,2021-01-01,2021-12-31,2023-04-25T02:34:23+00:00,http://purl.org/np/RA1MzU1MPio-mtLzm1P7zfTBSMnTNc2I8HLNARhPjpif8#ORCID,ORCID,ORCID | Open Researcher and Contributor ID,http://purl.org/np/RAtIFnvA0nuTJjr4QEBw8j_CNW-8D7xLAC42qLxSZqDMo,2023-04-17T02:45:09.054000+00:00,https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource,http://purl.org/np/RAgUy056QAXawK4atP_sfthRbqGoM7WMIkwutgOglkrnU
http://purl.org/np/RAhYc7jT_7xNb8CowlbT3A_XBSDuyLP9aMnf3sJt2Pn5k,ACTRIS_ARES_FIP_2021,http://purl.org/np/RA39E3Dj61wCQkWCkK707UWBEBvRj2-hUDH5V5BicUgrg#ACTRIS-ARES,ACTRIS-ARES,http://purl.org/np/RAdfztWNVhHRCxrGOGSYAFHDrrMQV8Ug2nZL4rxhP7CNU#ENVRI,ENVRI,https://w3id.org/fair/fip/terms/FIP-Question-F1-MD,F1-MD,01-0Dx,,http://purl.org/np/RAeUV6SO_FSxYY0FMvwVk8nfM1C25yrC-REh1o2BW-3Ho#declaration,https://w3id.org/fair/fip/terms/declares-planned-use-of,http://purl.org/np/RAnAWGdeI_1GGmDAqv-vZjby5XqbL2ZujNz1vgwK_6cRI#DOI,2021-01-01,2021-12-31,2023-04-25T02:34:23+00:00,http://purl.org/np/RAnAWGdeI_1GGmDAqv-vZjby5XqbL2ZujNz1vgwK_6cRI#DOI,DOI,DOI | Digital Object Identifier,http://purl.org/np/RAVI6ifsFrq3vkzlwYn5-D-x31ORGJEZ8af0DsBfzQprU,2023-01-07T18:45:11.243000+00:00,https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource,http://purl.org/np/RApVq9AfVfgbiNOggadX3N5d1tGKLKqfRBNYoahhFVbRg
http://purl.org/np/RA0Z2E2s7D8PDSzrLz5sHUVLEgAxhUsyRnCzcePj4o3Lw,ACTRIS-ASC_FIP_2021,http://purl.org/np/RANS1FDYGKYE6IzIP6QuofHtLpvPfGQsCw1gyBmR_n9Ls#ACTRIS-ASC,ACTRIS-ASC,http://purl.org/np/RAdfztWNVhHRCxrGOGSYAFHDrrMQV8Ug2nZL4rxhP7CNU#ENVRI,ENVRI,https://w3id.org/fair/fip/terms/FIP-Question-F1-MD,F1-MD,01-0Dx,,http://purl.org/np/RA0a3y93t9KpTLplE416C9L1XrvJq26g5MrdGbtc2U0j4#declaration,https://w3id.org/fair/fip/terms/declares-current-use-of,http://purl.org/np/RA5ikgqnKqn071dwzXFdiXlnM8hWZRdFKsQjC_e5YRkEw#UUID,2021-01-01,2021-12-31,2023-04-25T00:47:50+00:00,http://purl.org/np/RA5ikgqnKqn071dwzXFdiXlnM8hWZRdFKsQjC_e5YRkEw#UUID,UUID,UUID | Universally Unique Identifier,http://purl.org/np/RAhtqDSSb5hNqBrpSGl25xayPVhQJ1s6IXImbcoUTfQYI,2022-07-23T15:03:46.106000+00:00,https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource,http://purl.org/np/RAqhEkltSt_EwR1t8NSPPfm9Smleglxib56dTqmPDE4qQ
http://purl.org/np/RA0Z2E2s7D8PDSzrLz5sHUVLEgAxhUsyRnCzcePj4o3Lw,ACTRIS-ASC_FIP_2021,http://purl.org/np/RANS1FDYGKYE6IzIP6QuofHtLpvPfGQsCw1gyBmR_n9Ls#ACTRIS-ASC,ACTRIS-ASC,http://purl.org/np/RAdfztWNVhHRCxrGOGSYAFHDrrMQV8Ug2nZL4rxhP7CNU#ENVRI,ENVRI,https://w3id.org/fair/fip/terms/FIP-Question-F1-MD,F1-MD,01-0Dx,,http://purl.org/np/RAPzpm8r_zmuxpHTXShhjEo8qzpxJ7IRO2Ne_m-WoMdMw#declaration,https://w3id.org/fair/fip/terms/declares-current-use-of,http://purl.org/np/RAnAWGdeI_1GGmDAqv-vZjby5XqbL2ZujNz1vgwK_6cRI#DOI,2021-01-01,2021-12-31,2023-04-25T00:47:50+00:00,http://purl.org/np/RAnAWGdeI_1GGmDAqv-vZjby5XqbL2ZujNz1vgwK_6cRI#DOI,DOI,DOI | Digital Object Identifier,http://purl.org/np/RAVI6ifsFrq3vkzlwYn5-D-x31ORGJEZ8af0DsBfzQprU,2023-01-07T18:45:11.243000+00:00,https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource,http://purl.org/np/RApVq9AfVfgbiNOggadX3N5d1tGKLKqfRBNYoahhFVbRg
http://purl.org/np/RA0hzuHmmGi09JY7LVpGXUx-lscpxKHkfruK3AjK68qAc,ACTRIS-ASC_FIP_2020,http://purl.org/np/RANS1FDYGKYE6IzIP6QuofHtLpvPfGQsCw1gyBmR_n9Ls#ACTRIS-ASC,ACTRIS-ASC,http://purl.org/np/RAdfztWNVhHRCxrGOGSYAFHDrrMQV8Ug2nZL4rxhP7CNU#ENVRI,ENVRI,https://w3id.org/fair/fip/terms/FIP-Question-F1-MD,F1-MD,01-0Dx,,http://purl.org/np/RAJhBBQ1vOtI5zLO6WlYjaxYhZUGj3gDnpIfV0Gq4pwLc#declaration,https://w3id.org/fair/fip/terms/declares-current-use-of,http://purl.org/np/RA5ikgqnKqn071dwzXFdiXlnM8hWZRdFKsQjC_e5YRkEw#UUID,2020-01-01,2020-12-31,2023-04-25T00:46:27+00:00,http://purl.org/np/RA5ikgqnKqn071dwzXFdiXlnM8hWZRdFKsQjC_e5YRkEw#UUID,UUID,UUID | Universally Unique Identifier,http://purl.org/np/RAhtqDSSb5hNqBrpSGl25xayPVhQJ1s6IXImbcoUTfQYI,2022-07-23T15:03:46.106000+00:00,https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource,http://purl.org/np/RAqhEkltSt_EwR1t8NSPPfm9Smleglxib56dTqmPDE4qQ
http://purl.org/np/RA0hzuHmmGi09JY7LVpGXUx-lscpxKHkfruK3AjK68qAc,ACTRIS-ASC_FIP_2020,http://purl.org/np/RANS1FDYGKYE6IzIP6QuofHtLpvPfGQsCw1gyBmR_n9Ls#ACTRIS-ASC,ACTRIS-ASC,http://purl.org/np/RAdfztWNVhHRCxrGOGSYAFHDrrMQV8Ug2nZL4rxhP7CNU#ENVRI,ENVRI,https://w3id.org/fair/fip/terms/FIP-Question-F1-MD,F1-MD,01-0Dx,,http://purl.org/np/RATwAlyyUeHoPER0smmiEZ6LXcdUm0unpk16zi-dOsVsI#declaration,https://w3id.org/fair/fip/terms/declares-current-use-of,http://purl.org/np/RAnAWGdeI_1GGmDAqv-vZjby5XqbL2ZujNz1vgwK_6cRI#DOI,2020-01-01,2020-12-31,2023-04-25T00:46:27+00:00,http://purl.org/np/RAnAWGdeI_1GGmDAqv-vZjby5XqbL2ZujNz1vgwK_6cRI#DOI,DOI,DOI | Digital Object Identifier,http://purl.org/np/RAVI6ifsFrq3vkzlwYn5-D-x31ORGJEZ8af0DsBfzQprU,2023-01-07T18:45:11.243000+00:00,https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource,http://purl.org/np/RApVq9AfVfgbiNOggadX3N5d1tGKLKqfRBNYoahhFVbRg
